date,open,high,low,close,volume,Name
3/31/2020,165.4799957,170.9299927,164.1999969,166.8000031,23676300,META
4/1/2020,161.6199951,164.1499939,158.0399933,159.6000061,19507600,META
4/2/2020,159.1000061,161.3500061,155.9199982,158.1900024,20886300,META
4/3/2020,157.1499939,157.9100037,150.8300018,154.1799927,25983300,META
4/6/2020,160.1499939,166.1999969,158.5099945,165.5500031,28453600,META
4/7/2020,171.7899933,173.3899994,166.0099945,168.8300018,31411900,META
4/8/2020,171.25,175,167.7400055,174.2799988,21664200,META
4/9/2020,175.8999939,177.0800018,171.5700073,175.1900024,23534300,META
4/13/2020,173.6699982,175,169.4499969,174.7899933,19355400,META
4/14/2020,178.9799957,181.2299957,176.6199951,178.1699982,21011800,META
4/15/2020,175.1900024,178.1900024,172.8200073,176.9700012,17423000,META
4/16/2020,177.9499969,178.0500031,172.5099945,176.25,23593200,META
4/17/2020,179.1999969,180.2799988,176.6600037,179.2400055,20974800,META
4/20/2020,177.4100037,180.5,176.7700043,178.2400055,16110700,META
4/21/2020,175.25,175.3800049,168.3399963,170.8000031,24850500,META
4/22/2020,178.4499969,184.7799988,178.1399994,182.2799988,33242000,META
4/23/2020,184.0800018,187.0500031,183.1499939,185.1300049,21426600,META
4/24/2020,183.2299957,190.4100037,180.8300018,190.0700073,28792000,META
4/27/2020,192.6600037,193.75,187.4100037,187.5,29197800,META
4/28/2020,188.6600037,189.1999969,182.5599976,182.9100037,21731000,META
4/29/2020,190.9299927,196.9100037,190,194.1900024,45954500,META
4/30/2020,206.9199982,209.6900024,201.5700073,204.7100067,46230100,META
5/1/2020,201.6000061,207.2799988,199.0500031,202.2700043,30415600,META
5/4/2020,200.1999969,205.9100037,198.7599945,205.2599945,19250700,META
5/5/2020,207.0200043,210.3800049,206.5,207.0700073,21071200,META
5/6/2020,208.1199951,211.6000061,206.6600037,208.4700012,21857000,META
5/7/2020,211.1600037,211.6000061,209.0399933,211.2599945,15152000,META
5/8/2020,212.2400055,213.2100067,210.8500061,212.3500061,12506000,META
5/11/2020,210.8899994,215,210.3699951,213.1799927,12911900,META
5/12/2020,213.2899933,215.2799988,210,210.1000061,14704600,META
5/13/2020,209.4299927,210.7799988,202.1100006,205.1000061,20684600,META
5/14/2020,202.5599976,206.9299927,200.6900024,206.8099976,17178900,META
5/15/2020,205.2700043,211.3399963,204.1199951,210.8800049,19383200,META
5/18/2020,212.1499939,214.6399994,210.9400024,213.1900024,20151900,META
5/19/2020,213.2700043,220.4900055,212.8300018,216.8800049,31843200,META
5/20/2020,223.5,231.3399963,223.1900024,229.9700012,50162900,META
5/21/2020,234.7200012,237.1999969,231.1999969,231.3899994,47782600,META
5/22/2020,231.5099945,235.9900055,228.7400055,234.9100037,33925600,META
5/26/2020,239.7700043,240.8999939,231.6699982,232.1999969,33178300,META
5/27/2020,229.0700073,230.5599976,221.1300049,229.1399994,34697600,META
5/28/2020,224.3000031,231.6300049,224,225.4600067,29377200,META
5/29/2020,225.1999969,227.4900055,222.8800049,225.0899963,23241500,META
6/1/2020,224.5899963,232.4400024,223.5,231.9100037,18223800,META
6/2/2020,230.9400024,233,226.5599976,232.7200012,20919000,META
6/3/2020,232.1100006,232.6499939,228.5299988,230.1600037,15380300,META
6/4/2020,229.5599976,231.6300049,224.6100006,226.2899933,17041500,META
6/5/2020,226.7100067,231.3500061,225.3099976,230.7700043,16750400,META
6/8/2020,229.0299988,231.5500031,227.4100037,231.3999939,15466500,META
6/9/2020,231.5200043,239.7700043,230.4100037,238.6699982,27462900,META
6/10/2020,240.9600067,241.2100067,235.2799988,236.7299957,20720700,META
6/11/2020,229.9400024,232.8899994,223.5500031,224.4299927,26708200,META
6/12/2020,229.8999939,231.6600037,224.5,228.5800018,22091400,META
6/15/2020,225.0899963,233.7700043,224.8000031,232.5,15340300,META
6/16/2020,237.1399994,238.4600067,233,235.6499939,15236700,META
6/17/2020,235,237.5899963,231.7299957,235.5299988,19578100,META
6/18/2020,234.9900055,236.1399994,232.1499939,235.9400024,15782500,META
6/19/2020,237.7899933,240.8300018,235.5500031,238.7899933,30081300,META
6/22/2020,238.5599976,240.6999969,236.9100037,239.2200012,18917800,META
6/23/2020,241.2799988,245.1900024,239.8600006,242.2400055,24017900,META
6/24/2020,241.1999969,243.2200012,232.6799927,234.0200043,20834900,META
6/25/2020,234.6199951,237.3000031,232.7400055,235.6799927,18704300,META
